>ptg000019l	658483
365635	365654	366
365655	365692	368
365693	365707	369
365708	365743	370
365744	365762	372
365763	365772	373
365773	365791	374
365792	365805	373
365806	365812	374
365813	365842	375
365843	365908	377
365909	365919	376
365920	365950	375
365951	365956	376
365957	365970	375
365971	365985	376
365986	365995	377
365996	366022	375
366023	366025	374
366026	366033	376
366034	366081	377
366082	366100	378
366101	366137	377
366138	366149	376
366150	366151	377
366152	366164	376
366165	366168	378
366169	366203	376
366204	366243	379
366244	366262	381
366263	366263	380
366264	366264	382
366265	366282	383
366283	366301	382
366302	366302	381
366303	366360	382
366361	366369	381
366370	366379	383
366380	366392	382
366393	366418	383
366419	366448	385
366449	366467	386
366468	366478	385
366479	366484	386
366485	366496	389
366497	366503	390
366504	366543	389
366544	366564	390
366565	366567	392
366568	366623	393
366624	366629	392
366630	366640	391
366641	366659	392
366660	366663	393
366664	366687	395
366688	366702	396
366703	366716	394
366717	366743	395
366744	366762	397
366763	366765	398
366766	366776	399
366777	366793	400
366794	366803	402
366804	366818	404
366819	366837	405
366838	366854	404
366855	366855	405
366856	366873	407
366874	366874	408
366875	366930	406
366931	366949	407
366950	366966	406
366967	366996	405
366997	367011	407
367012	367069	409
367070	367111	408
367112	367189	409
367190	367222	410
367223	367237	408
367238	367309	407
367310	367318	406
367319	367333	405
367334	367368	406
367369	367380	405
367381	367462	406
367463	367474	407
367475	367521	409
367522	367540	410
367541	367573	409
367574	367605	410
367606	367633	409
367634	367660	408
367661	367673	407
367674	367719	408
367720	367726	407
367727	367742	405
367743	367755	404
367756	367774	405
367775	367797	404
367798	367820	403
367821	367839	404
367840	367942	404
367943	367971	403
367972	368011	404
368012	368017	403
368018	368036	404
368037	368056	402
368057	368085	401
368086	368130	400
368131	368151	396
368152	368163	395
368164	368231	394
368232	368249	393
368250	368288	392
368289	368319	390
368320	368335	389
368336	368344	390
368345	368385	389
368386	368398	388
368399	368436	387
368437	368521	385
368522	368541	384
368542	368552	383
368553	368606	382
368607	368616	381
368617	368618	382
368619	368642	381
368643	368714	380
368715	368743	378
368744	368753	376
368754	368792	375
368793	368793	376
368794	368813	373
368814	368846	372
368847	368859	369
368860	368877	368
368878	368905	367
368906	368918	366
368919	368946	364
368947	368997	363
368998	369021	362
369022	369038	361
369039	369039	360
369040	369131	359
369132	369141	360
369142	369150	361
369151	369160	360
369161	369176	358
369177	369195	357
369196	369201	356
369202	369224	355
369225	369241	354
369242	369304	353
369305	369372	352
369373	369398	349
369399	369464	348
369465	369492	345
369493	369542	344
369543	369576	343
369577	369625	342
369626	369632	340
369633	369641	339
369642	369694	338
369695	369725	336
369726	369751	335
369752	369811	333
369812	369844	331
369845	369856	330
369857	369943	329
369944	369961	327
369962	369987	326
369988	369997	325
369998	370028	324
370029	370063	323
370064	370087	322
370088	370099	323
370100	370106	322
370107	370153	320
370154	370173	319
370174	370199	318
370200	370287	316
370288	370304	315
370305	370339	313
370340	370359	310
370360	370422	309
370423	370431	308
370432	370453	307
370454	370458	306
370459	370492	305
370493	370509	304
370510	370554	303
370555	370585	301
370586	370627	300
370628	370633	299
370634	370702	298
370703	370740	297
370741	370751	294
370752	370770	295
370771	370782	294
370783	370789	293
370790	370855	292
370856	370878	290
370879	370896	288
370897	370947	287
370948	370950	286
370951	371012	285
371013	371023	284
371024	371045	283
371046	371119	282
371120	371158	281
371159	371204	280
371205	371223	281
371224	371230	280
371231	371288	279
371289	371295	278
371296	371312	277
371313	371343	276
371344	371374	275
371375	371428	274
371429	371444	272
371445	371491	270
371492	371571	269
371572	371677	268
371678	371685	267
371686	371726	266
371727	371762	265
371763	371784	264
371785	371797	262
371798	371830	261
371831	371839	260
371840	371905	259
371906	371910	258
371911	371986	257
371987	371998	256
371999	372083	254
372084	372084	253
372085	372123	252
372124	372143	251
372144	372153	250
372154	372216	249
372217	372244	248
372245	372272	247
372273	372292	246
372293	372360	245
372361	372373	244
372374	372398	242
372399	372413	241
372414	372487	240
372488	372512	237
372513	372543	236
372544	372600	234
372601	372646	233
372647	372756	232
372757	372766	231
372767	372812	230
372813	372841	229
372842	372862	228
372863	372886	226
372887	372928	225
372929	372940	224
372941	372971	223
372972	372994	222
372995	373016	219
373017	373031	218
373032	373067	217
373068	373073	216
373074	373111	215
373112	373129	213
373130	373141	212
373142	373194	210
373195	373205	208
373206	373246	205
373247	373259	204
373260	373274	202
373275	373307	201
373308	373332	199
373333	373376	197
373377	373400	195
373401	373416	194
373417	373430	193
373431	373482	191
373483	373512	190
373513	373524	189
373525	373573	185
373574	373584	184
373585	373595	183
373596	373612	182
373613	373660	180
373661	373670	179
373671	373710	178
373711	373730	175
373731	373734	174
373735	373763	173
373764	373773	172
373774	373807	171
373808	373846	170
373847	373856	169
373857	373883	168
373884	373890	167
373891	373906	166
373907	373954	165
373955	374007	163
374008	374031	162
374032	374049	157
374050	374074	155
374075	374111	154
374112	374118	153
374119	374129	152
374130	374142	150
374143	374162	148
374163	374176	147
374177	374185	144
374186	374199	143
374200	374201	142
374202	374203	141
374204	374229	140
374230	374265	138
374266	374303	137
374304	374315	136
374316	374318	135
374319	374350	134
374351	374366	133
374367	374389	131
374390	374408	130
374409	374424	128
374425	374434	126
374435	374445	125
374446	374461	124
374462	374472	122
374473	374506	121
374507	374510	120
374511	374527	119
374528	374547	117
374548	374577	116
374578	374582	113
374583	374589	112
374590	374607	111
374608	374623	110
374624	374657	109
374658	374672	108
374673	374680	107
374681	374703	106
374704	374740	105
374741	374772	104
374773	374791	100
374792	374825	99
374826	374849	97
374850	374900	96
374901	374926	93
374927	374929	92
374930	374960	90
374961	374974	89
374975	374993	88
374994	374999	87
375000	375037	82
375038	375069	80
375070	375094	79
375095	375133	77
375134	375142	76
375143	375147	75
375148	375160	74
375161	375190	72
375191	375206	71
375207	375218	70
375219	375275	69
375276	375306	67
375307	375321	66
375322	375360	65
375361	375369	64
375370	375439	63
375440	375483	62
375484	375517	61
375518	375526	60
375527	375605	59
375606	375641	57
375642	375653	56
375654	375671	55
375672	375700	54
375701	375743	53
375744	375761	52
375762	375769	51
375770	375797	50
375798	375820	49
375821	375840	48
375841	375844	46
375845	375881	45
375882	375950	44
375951	375975	43
375976	375987	40
375988	376012	38
376013	376046	37
376047	376073	36
376074	376178	35
376179	376193	34
376194	376207	32
376208	376231	31
376232	376245	30
376246	376278	29
376279	376292	28
376293	376323	26
376324	376360	25
376361	376375	24
376376	376388	23
376389	376397	22
376398	376420	20
376421	376435	18
376436	376506	17
376507	376528	15
376529	376537	14
376538	376585	13
376586	376631	11
376632	376651	8
376652	376664	6
376665	376678	4
376679	376730	3
376731	376739	1
376740	376750	0
>ptg000004l	481761
1	7	0
8	567	1
568	793	2
794	969	3
970	1246	4
1247	1263	5
1264	2203	6
2204	2279	7
2280	2588	8
2589	2942	9
2943	3133	10
3134	3203	11
3204	3223	12
3224	3588	13
3589	3629	14
3630	3682	15
3683	4093	16
4094	4261	17
4262	4383	18
4384	4401	19
4402	4465	20
4466	5287	21
5288	5734	22
5735	6605	23
6606	6743	24
6744	7285	25
7286	7605	26
7606	7635	27
7636	7804	29
7805	7809	30
7810	8040	31
8041	8999	32
9000	9112	31
9113	9242	30
9243	9258	29
9259	9433	28
9434	9671	29
9672	9687	30
9688	9767	31
9768	9817	32
9818	10789	33
10790	10901	32
10902	11418	31
11419	11421	30
11422	11515	31
11516	11626	32
11627	12228	33
12229	12280	34
12281	12317	33
12318	12441	34
12442	12575	33
12576	12797	32
12798	12816	33
12817	12843	32
12844	13048	33
13049	13103	32
13104	13264	31
13265	13312	33
13313	13488	34
13489	13574	33
13575	13734	32
13735	13897	33
13898	14059	32
14060	14060	31
14061	14183	32
14184	14234	31
14235	14324	32
14325	14494	31
14495	14823	30
14824	15433	29
15434	15771	28
15772	15824	29
15825	15913	30
15914	16127	29
16128	16238	28
16239	16273	27
16274	16301	26
16302	16592	25
16593	16638	26
16639	16871	25
16872	17006	26
17007	17039	27
17040	17046	28
17047	17112	29
17113	17232	28
17233	17369	27
17370	17567	26
17568	17986	27
17987	18241	26
18242	18281	25
18282	18363	26
18364	19286	25
19287	19420	26
19421	19469	27
19470	19534	28
19535	19589	29
19590	19748	28
19749	20122	29
20123	20656	28
20657	20785	29
20786	20940	30
20941	20985	29
20986	21147	28
21148	21153	29
21154	21209	28
21210	21243	29
21244	21276	28
21277	21480	29
21481	21702	30
21703	21721	31
21722	21805	30
21806	21879	28
21880	21907	27
21908	22056	28
22057	22262	27
22263	22401	28
22402	22948	27
22949	22974	26
22975	23291	27
23292	23343	28
23344	23565	27
23566	23605	28
23606	23704	29
23705	23815	31
23816	24101	29
24102	24230	30
24231	24713	31
24714	24760	32
24761	24802	31
24803	24875	30
24876	24998	29
24999	25169	28
25170	25232	29
25233	25306	30
25307	25681	31
25682	25812	30
25813	25959	31
25960	25978	32
25979	25983	31
25984	26061	32
26062	26266	31
26267	26601	30
26602	26949	31
26950	27177	32
27178	27232	33
27233	27537	32
27538	27804	33
27805	28153	34
28154	28178	33
28179	28256	34
28257	28449	33
28450	28535	34
28536	28666	35
28667	28913	34
28914	28991	35
28992	29044	34
29045	29284	35
29285	29320	34
29321	29336	33
29337	29354	32
29355	29358	33
29359	29460	32
29461	29466	31
29467	29534	32
29535	29958	33
29959	30304	34
30305	30515	35
30516	30522	34
30523	30629	35
30630	30665	36
30666	30870	37
30871	30957	38
30958	30966	37
30967	31193	39
31194	31477	38
31478	31510	39
31511	31586	40
31587	31655	41
31656	31677	40
31678	31949	39
31950	32095	38
32096	32212	37
32213	32239	36
32240	32385	37
32386	32483	38
32484	32509	39
32510	32595	40
32596	32838	39
32839	32878	38
32879	32888	37
32889	32920	39
32921	33098	40
33099	33166	39
33167	33184	38
33185	33659	39
33660	34040	38
34041	34292	37
34293	34392	38
34393	34640	39
34641	34852	38
34853	35025	37
35026	35161	39
35162	35311	40
35312	35603	39
35604	35638	40
35639	35668	39
35669	35760	38
35761	35764	37
35765	35867	38
35868	35918	39
35919	36396	40
36397	36524	41
36525	36574	40
36575	36897	41
36898	36991	42
36992	37488	41
37489	37502	42
37503	37658	43
37659	38180	42
38181	38248	41
38249	38511	42
38512	38668	41
38669	38750	40
38751	38873	39
38874	39119	38
39120	39197	37
39198	39234	38
39235	39250	37
39251	39320	35
39321	39339	36
39340	39375	35
39376	39532	34
39533	39637	33
39638	40001	32
40002	40246	33
40247	40257	32
40258	40276	31
40277	40405	30
40406	40485	31
40486	40544	32
40545	40552	31
40553	40682	30
40683	40775	29
40776	40804	28
40805	40823	29
40824	40838	28
40839	40944	29
40945	41004	30
41005	41370	29
41371	41392	28
41393	41461	27
41462	41543	25
41544	41875	26
41876	42080	27
42081	42273	28
42274	42605	27
42606	42700	28
42701	43482	27
43483	43697	26
43698	43964	27
43965	44206	26
44207	44300	25
44301	44499	24
44500	44857	23
44858	45055	22
45056	45281	23
45282	45289	24
45290	45521	25
45522	45546	24
45547	45618	25
45619	45788	24
45789	45898	23
45899	45913	22
45914	46189	23
46190	46213	24
46214	46321	25
46322	46349	26
46350	46358	25
46359	46546	26
46547	46922	25
46923	47029	26
47030	47077	25
47078	47170	26
47171	47379	25
47380	47410	24
47411	47979	25
47980	48583	26
48584	48608	27
48609	48843	28
48844	49276	27
49277	49402	26
49403	49538	27
49539	49722	26
49723	49732	27
49733	50005	28
50006	50016	29
50017	50166	30
50167	50231	29
50232	50367	30
50368	50416	31
50417	50551	33
50552	50570	34
50571	50642	35
50643	50974	34
50975	51050	33
51051	51100	34
51101	51169	33
51170	51212	32
51213	51337	30
51338	51807	29
51808	52222	30
52223	52507	31
52508	52774	32
52775	52912	31
52913	53166	30
53167	53548	31
53549	53894	32
53895	54176	33
54177	54452	34
54453	54491	35
54492	54774	34
54775	54958	33
54959	55125	34
55126	55227	35
55228	55325	36
55326	55493	37
55494	55644	36
55645	55822	35
55823	55973	34
55974	56033	35
56034	56100	36
56101	56257	35
56258	56478	36
56479	56526	37
56527	56652	36
56653	56718	35
56719	56751	36
56752	57006	35
57007	57275	34
57276	57420	35
57421	57591	34
57592	57626	33
57627	57782	34
57783	58080	35
58081	58089	34
58090	58223	35
58224	58266	34
58267	58488	33
58489	58582	32
58583	58614	31
58615	58668	30
58669	58958	29
58959	59200	28
59201	59242	27
59243	59243	26
59244	59426	27
59427	59693	28
59694	59799	27
59800	60257	26
60258	60744	25
60745	61297	26
61298	61306	27
61307	61457	26
61458	61683	25
61684	61818	26
61819	61877	27
61878	61896	28
61897	61921	27
61922	61963	28
61964	61975	27
61976	62097	28
62098	62290	27
62291	62421	28
62422	62625	29
62626	63074	28
63075	63317	27
63318	63596	26
63597	63633	27
63634	63753	26
63754	63766	27
63767	63832	26
63833	64139	25
64140	64358	26
64359	64392	27
64393	64517	26
64518	64522	25
64523	64740	26
64741	64904	25
64905	64973	24
64974	64978	23
64979	65021	24
65022	65164	23
65165	65412	24
65413	65666	23
65667	65808	24
65809	65902	23
65903	66351	24
66352	66554	23
66555	67201	24
67202	67526	23
67527	67551	24
67552	68038	25
68039	68122	24
68123	68378	25
68379	68390	24
68391	68475	26
68476	68525	27
68526	68794	28
68795	69029	29
69030	69462	28
69463	69760	27
69761	69903	28
69904	69940	27
69941	69943	28
69944	70028	27
70029	70335	28
70336	70596	27
70597	71709	28
71710	71839	27
71840	71865	26
71866	71962	27
71963	72060	28
72061	72178	29
72179	72438	28
72439	72472	27
72473	72595	28
72596	72657	27
72658	72775	25
72776	73235	24
73236	73265	23
73266	73274	22
73275	73339	21
73340	73557	22
73558	73565	21
73566	73669	22
73670	73817	23
73818	73942	22
73943	73991	23
73992	74203	24
74204	74616	23
74617	74719	24
74720	74857	22
74858	75017	23
75018	75474	22
75475	75516	21
75517	76044	22
76045	76243	23
76244	76404	24
76405	76798	25
76799	76807	26
76808	76877	25
76878	77015	24
77016	77662	23
77663	77945	22
77946	78031	21
78032	78496	22
78497	78549	21
78550	78559	22
78560	78929	23
78930	78998	22
78999	79020	21
79021	79051	20
79052	79195	21
79196	79212	22
79213	79214	23
79215	79618	22
79619	79654	23
79655	79814	22
79815	80234	23
80235	80342	24
80343	80485	25
80486	80586	26
80587	81104	25
81105	81108	24
81109	81311	25
81312	81729	26
81730	81772	25
81773	81777	26
81778	82502	25
82503	82628	26
82629	82668	25
82669	82824	24
82825	82983	25
82984	83002	26
83003	83213	25
83214	83287	26
83288	83940	25
83941	83970	26
83971	84005	28
84006	84190	27
84191	84394	26
84395	84466	25
84467	84478	26
84479	84862	27
84863	84965	26
84966	85144	25
85145	85188	26
85189	85193	27
85194	85353	26
85354	85372	27
85373	85605	28
85606	86225	29
86226	86361	30
86362	86761	29
86762	87267	30
87268	87300	32
87301	87341	33
87342	87952	34
87953	88076	35
88077	88152	34
88153	88216	35
88217	88315	34
88316	88572	33
88573	88580	32
88581	88733	33
88734	88926	32
88927	89106	33
89107	89220	32
89221	89243	33
89244	89253	32
89254	89364	31
89365	89562	30
89563	89695	29
89696	90265	28
90266	90446	27
90447	90813	26
90814	90872	27
90873	91059	28
91060	91250	29
91251	91538	30
91539	91570	29
91571	91629	28
91630	92744	27
92745	92747	28
92748	92830	27
92831	92870	26
92871	92897	27
92898	93019	26
93020	93038	27
93039	93244	26
93245	93470	27
93471	93601	26
93602	93833	25
93834	94212	24
94213	94222	23
94223	94317	22
94318	94776	21
94777	95091	20
95092	95403	19
95404	95422	20
95423	95544	19
95545	95627	18
95628	96168	17
96169	96215	16
96216	96229	15
96230	96605	14
96606	96812	15
96813	96860	14
96861	97031	15
97032	97085	14
97086	98482	13
98483	98569	12
98570	99107	13
99108	99179	12
99180	99329	13
99330	99505	12
99506	100562	13
100563	100581	12
100582	100774	13
100775	100956	14
100957	101138	13
101139	101164	12
101165	101287	13
101288	101304	14
101305	101487	15
101488	101641	14
101642	101666	15
101667	101701	16
101702	101996	15
101997	102310	16
102311	102509	15
102510	103063	16
103064	103112	15
103113	103169	16
103170	103599	15
103600	103718	16
103719	104277	18
104278	104525	19
104526	104669	20
104670	104796	21
104797	105179	22
105180	105231	21
105232	105436	22
105437	105554	21
105555	105571	22
105572	105676	23
105677	106021	24
106022	106275	25
106276	106733	26
106734	106926	25
106927	107142	26
107143	107283	25
107284	107302	26
107303	107310	27
107311	107972	28
107973	108100	29
108101	108292	30
108293	108588	31
108589	108708	32
108709	108856	33
108857	109317	34
109318	109508	33
109509	109822	32
109823	109908	33
109909	109962	34
109963	110040	33
110041	110138	34
110139	110157	35
110158	110241	34
110242	110293	35
110294	110571	34
110572	110703	33
110704	110918	32
110919	110980	33
110981	110990	32
110991	111082	31
111083	111189	30
111190	111747	29
111748	111879	30
111880	112166	31
112167	112358	30
112359	112656	31
112657	112715	30
112716	113126	29
113127	113419	28
113420	113806	27
113807	113850	26
113851	114208	25
114209	114230	24
114231	114260	23
114261	114401	24
114402	114557	25
114558	114759	24
114760	114860	23
114861	115007	24
115008	115129	25
115130	115374	24
115375	115747	25
115748	115848	24
115849	116131	23
116132	116235	24
116236	116274	25
116275	116283	24
116284	116621	25
116622	116807	24
116808	116839	23
116840	116894	22
116895	116958	21
116959	117169	22
117170	117207	23
117208	117645	22
117646	117925	23
117926	118152	22
118153	118223	21
118224	118313	22
118314	119183	23
119184	119315	22
119316	119402	21
119403	119437	20
119438	119586	19
119587	120132	20
120133	120147	19
120148	120293	18
120294	120608	17
120609	120929	16
120930	121117	17
121118	121343	18
121344	121471	19
121472	122044	18
122045	122647	19
122648	122746	18
122747	122790	19
122791	122809	18
122810	122849	17
122850	122880	18
122881	122899	19
122900	123200	18
123201	123373	19
123374	123659	20
123660	123800	19
123801	123819	20
123820	123879	19
123880	124254	20
124255	124269	21
124270	124509	20
124510	124524	21
124525	124582	22
124583	124863	21
124864	125493	22
125494	125966	23
125967	126022	24
126023	126115	25
126116	126116	26
126117	126244	25
126245	126254	26
126255	126331	27
126332	126353	28
126354	127033	30
127034	127399	31
127400	127512	30
127513	127581	29
127582	127723	30
127724	127804	29
127805	127950	30
127951	128001	31
128002	128095	30
128096	128697	29
128698	129099	30
129100	129275	31
129276	129389	30
129390	129594	29
129595	129938	27
129939	130423	28
130424	131096	29
131097	131217	30
131218	131355	31
131356	131575	32
131576	131679	31
131680	131906	30
131907	132130	31
132131	132165	30
132166	132257	29
132258	132261	30
132262	132293	31
132294	132309	30
132310	132367	29
132368	132726	28
132727	133066	29
133067	133081	28
133082	133174	27
133175	133612	26
133613	133884	25
133885	134042	24
134043	134049	23
134050	134141	24
134142	134467	25
134468	134572	24
134573	134776	25
134777	134872	26
134873	134983	27
134984	135096	28
135097	135121	27
135122	135130	26
135131	135178	27
135179	135665	28
135666	135785	29
135786	135804	28
135805	135853	27
135854	135915	26
135916	136141	27
136142	136193	26
136194	136454	27
136455	136523	25
136524	136633	24
136634	137003	25
137004	137020	24
137021	137111	25
137112	137151	26
137152	137273	25
137274	137361	26
137362	137523	28
137524	137616	27
137617	137772	28
137773	138406	29
138407	138495	30
138496	138514	31
138515	138647	30
138648	138696	31
138697	138747	32
138748	138919	33
138920	138954	34
138955	138980	35
138981	139094	34
139095	139460	35
139461	139753	36
139754	139816	37
139817	139995	36
139996	140224	37
140225	140277	38
140278	140313	37
140314	140332	36
140333	140376	37
140377	140498	38
140499	140510	39
140511	140575	40
140576	140699	39
140700	140837	40
140838	141085	41
141086	141104	42
141105	141240	41
141241	141386	40
141387	141391	41
141392	141529	40
141530	141644	41
141645	142318	42
142319	143113	41
143114	144013	40
144014	144223	41
144224	144282	40
144283	144327	39
144328	144359	38
144360	144458	39
144459	144598	38
144599	144700	37
144701	144733	36
144734	144744	35
144745	144794	36
144795	145033	37
145034	145234	38
145235	145283	37
145284	145414	38
145415	145464	39
145465	145632	38
145633	145650	37
145651	145773	36
145774	145929	35
145930	146087	34
146088	146094	33
146095	146258	34
146259	146282	35
146283	146429	36
146430	146585	35
146586	146604	36
146605	146881	35
146882	146925	34
146926	146941	35
146942	147345	36
147346	147502	35
147503	147675	36
147676	147837	35
147838	147904	33
147905	147923	34
147924	148347	33
148348	148592	32
148593	148607	31
148608	148664	32
148665	148865	33
148866	148899	32
148900	149013	31
149014	149123	32
149124	149165	31
149166	149240	30
149241	149448	29
149449	149550	28
149551	149602	29
149603	149704	28
149705	149710	27
149711	149715	26
149716	149916	27
149917	150141	26
150142	150338	25
150339	150381	26
150382	150473	25
150474	150693	24
150694	150887	25
150888	151272	24
151273	151311	25
151312	151633	26
151634	151652	27
151653	151828	26
151829	152141	25
152142	152450	26
152451	152523	27
152524	152624	26
152625	152710	25
152711	153235	24
153236	153326	25
153327	153471	24
153472	153968	25
153969	154005	26
154006	154097	25
154098	154231	26
154232	154267	27
154268	154536	28
154537	154898	27
154899	155043	28
155044	155100	27
155101	155233	28
155234	155279	29
155280	155431	28
155432	155574	27
155575	155928	26
155929	156015	28
156016	156135	27
156136	156529	28
156530	156621	29
156622	156683	30
156684	156693	29
156694	156799	28
156800	156833	29
156834	157068	28
157069	157216	29
157217	157252	28
157253	157338	29
157339	157370	28
157371	157588	29
157589	157895	30
157896	158000	31
158001	158043	32
158044	158400	31
158401	158439	32
158440	158492	33
158493	158541	32
158542	158587	33
158588	159106	32
159107	159162	33
159163	159250	34
159251	159315	33
159316	159328	32
159329	159914	33
159915	159983	32
159984	160393	31
160394	160419	32
160420	160678	31
160679	160917	32
160918	161374	33
161375	161410	34
161411	162142	33
162143	162224	34
162225	162296	35
162297	162319	34
162320	162363	35
162364	162443	34
162444	162515	33
162516	162927	34
162928	163029	35
163030	163033	36
163034	163223	35
163224	163242	36
163243	163456	35
163457	163465	36
163466	163501	37
163502	163557	36
163558	163692	37
163693	163915	36
163916	164253	35
164254	164744	34
164745	164853	35
164854	164988	34
164989	165221	33
165222	165275	34
165276	165293	33
165294	165412	32
165413	165484	31
165485	165683	30
165684	165852	31
165853	165857	32
165858	165873	31
165874	165935	30
165936	166113	28
166114	166336	29
166337	166397	28
166398	166507	29
166508	166770	28
166771	166945	27
166946	166958	28
166959	167421	29
167422	167702	28
167703	167740	27
167741	168036	26
168037	169019	25
169020	169292	26
169293	169372	27
169373	169536	26
169537	169555	27
169556	169669	26
169670	169707	27
169708	169935	26
169936	169977	25
169978	170583	23
170584	170618	24
170619	171106	25
171107	171258	24
171259	171264	25
171265	171713	24
171714	171987	25
171988	172014	24
172015	172157	23
172158	172214	22
172215	172472	21
172473	172713	20
172714	172758	19
172759	173194	18
173195	173651	17
173652	173901	16
173902	173964	17
173965	174300	16
174301	174425	17
174426	174444	18
174445	174885	17
174886	174898	16
174899	174979	17
174980	175009	16
175010	175057	15
175058	175539	16
175540	175671	17
175672	175709	18
175710	175921	19
175922	176128	20
176129	176148	19
176149	176282	20
176283	176826	19
176827	176915	20
176916	176972	21
176973	177408	20
177409	177733	21
177734	177906	22
177907	178074	21
178075	178090	20
178091	178322	19
178323	178477	20
178478	178804	21
178805	178808	20
178809	179138	21
179139	179721	22
179722	180010	21
180011	180143	22
180144	180214	23
180215	180663	22
180664	180769	23
180770	180850	22
180851	180916	23
180917	181354	25
181355	182349	24
182350	182533	25
182534	182558	26
182559	183086	27
183087	183455	26
183456	183747	25
183748	183794	24
183795	184029	25
184030	184095	26
184096	184272	25
184273	184305	24
184306	184668	25
184669	184895	24
184896	184915	25
184916	184934	26
184935	185133	25
185134	185302	24
185303	185463	25
185464	185498	24
185499	185706	25
185707	185833	24
185834	185939	23
185940	186122	22
186123	186157	21
186158	186250	22
186251	186430	21
186431	186511	20
186512	186822	22
186823	186829	23
186830	186875	24
186876	186942	25
186943	187137	26
187138	187201	27
187202	188143	28
188144	188604	27
188605	188743	26
188744	189172	27
189173	189332	26
189333	189887	27
189888	189980	26
189981	190151	25
190152	190483	24
190484	190630	23
190631	190689	24
190690	190708	25
190709	190725	24
190726	190749	25
190750	190763	26
190764	191045	27
191046	191147	26
191148	191166	25
191167	191377	26
191378	191626	27
191627	191686	28
191687	191794	29
191795	191807	30
191808	191821	31
191822	191940	32
191941	192204	31
192205	193022	30
193023	193295	29
193296	193317	28
193318	193407	27
193408	193430	28
193431	193827	29
193828	194039	28
194040	194079	27
194080	194134	29
194135	194470	30
194471	194517	31
194518	194586	32
194587	194786	33
194787	194895	34
194896	195088	35
195089	195254	33
195255	195328	32
195329	195354	31
195355	195665	29
195666	195889	30
195890	195899	31
195900	195908	32
195909	196041	31
196042	196218	32
196219	196615	33
196616	196683	32
196684	196694	33
196695	196790	34
196791	197051	35
197052	197068	34
197069	197204	33
197205	197246	32
197247	197674	33
197675	197878	32
197879	198433	33
198434	198562	34
198563	198580	35
198581	198833	36
198834	198854	35
198855	198984	34
198985	199014	35
199015	199202	36
199203	199290	35
199291	199325	34
199326	199527	35
199528	199805	34
199806	199867	35
199868	199903	34
199904	199953	33
199954	200192	34
200193	200237	33
200238	200370	32
200371	200464	31
200465	200863	32
200864	200892	31
200893	200974	32
200975	201055	31
201056	201651	30
201652	202038	29
202039	202100	28
202101	202351	27
202352	202417	25
202418	202456	26
202457	202822	27
202823	202989	26
202990	203155	27
203156	203174	28
203175	203586	27
203587	203756	26
203757	203970	28
203971	204052	29
204053	204443	28
204444	204497	27
204498	204597	26
204598	204619	25
204620	204662	24
204663	204690	25
204691	204874	24
204875	204957	25
204958	205155	26
205156	205404	25
205405	205442	24
205443	205602	23
205603	205696	24
205697	205824	23
205825	206197	22
206198	206239	23
206240	206258	24
206259	206328	23
206329	207341	24
207342	207989	23
207990	208160	24
208161	208214	23
208215	208341	22
208342	208500	21
208501	208684	20
208685	209001	21
209002	209062	22
209063	209287	21
209288	209398	22
209399	209455	23
209456	209624	22
209625	209718	21
209719	210614	22
210615	210713	23
210714	210719	24
210720	210809	23
210810	211003	22
211004	211192	23
211193	211219	24
211220	211615	25
211616	211739	24
211740	212101	22
212102	212182	23
212183	212756	22
212757	212768	23
212769	213193	22
213194	213724	21
213725	214276	20
214277	214295	21
214296	214363	22
214364	214596	23
214597	214669	22
214670	214910	21
214911	214925	20
214926	215125	19
215126	215194	20
215195	215418	19
215419	215535	20
215536	216152	19
216153	216312	17
216313	216690	18
216691	216720	19
216721	217121	20
217122	217399	21
217400	217669	20
217670	217793	21
217794	218245	20
218246	218319	21
218320	218394	22
218395	218409	21
218410	218432	20
218433	218991	19
218992	219015	20
219016	219125	21
219126	219179	22
219180	219619	23
219620	219723	24
219724	219809	23
219810	219977	24
219978	220041	23
220042	220050	24
220051	220358	23
220359	220390	22
220391	220783	23
220784	221219	22
221220	221485	23
221486	221575	24
221576	221833	25
221834	221846	24
221847	222016	25
222017	222051	26
222052	222347	27
222348	222802	26
222803	222832	27
222833	223380	28
223381	224021	26
224022	224022	27
224023	225183	26
225184	225380	27
225381	225496	26
225497	225524	25
225525	225777	27
225778	225896	28
225897	225911	27
225912	226277	26
226278	226346	27
226347	226504	26
226505	226943	27
226944	227175	28
227176	227328	27
227329	227651	25
227652	227788	26
227789	227816	27
227817	227920	28
227921	228070	29
228071	228157	30
228158	228234	29
228235	228289	30
228290	228399	31
228400	228529	30
228530	228874	31
228875	228905	30
228906	228955	31
228956	229002	30
229003	229058	29
229059	229197	30
229198	229250	29
229251	229309	30
229310	229426	31
229427	229485	30
229486	229698	29
229699	230295	30
230296	230296	31
230297	231325	30
231326	231415	29
231416	231518	28
231519	231786	27
231787	231816	28
231817	231876	29
231877	231959	30
231960	232046	29
232047	232190	28
232191	232465	27
232466	232505	28
232506	232531	27
232532	232579	26
232580	232694	27
232695	232756	26
232757	233001	25
233002	233183	26
233184	233517	25
233518	233586	26
233587	233738	27
233739	234283	28
234284	234440	27
234441	235092	28
235093	235153	29
235154	235314	30
235315	235936	31
235937	235998	30
235999	236103	31
236104	236136	30
236137	236247	29
236248	236516	28
236517	236610	29
236611	236633	28
236634	236722	27
236723	236935	28
